,Class,Cluster,Count,Centroid_X,Centroid_Y,Subgroup_MSE
134,9,78,5.0,-63.35,8.14,104.94
135,9,87,7.0,-29.55,-36.81,2268.86
136,9,88,899.0,-56.8,3.47,684.57
137,9,97,16.0,-7.62,-38.18,319.84
138,9,112,71.0,14.18,-18.24,2231.47
139,9,130,1556.0,-42.46,-12.88,246.32
140,9,134,7.0,-6.48,-41.99,1263.4
141,9,150,2.0,-7.37,-39.5,0.08
142,9,162,1.0,-6.32,-44.81,0.0
143,9,186,1.0,-59.33,-40.88,0.0
144,9,195,1.0,-5.77,-45.53,0.0
145,9,240,134.0,-12.48,-27.39,237.26
146,9,251,2242.0,-38.29,-33.31,522.62
