Class,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,4936.0,-47.51973342895508,-78.5155258178711,1167.4776611328125
1,5618.0,-81.51201629638672,27.78360939025879,845.0411376953125
2,4965.0,-26.169633865356445,53.71746063232422,1087.30517578125
3,5109.0,-53.2276496887207,-20.15303611755371,997.77978515625
4,4868.0,86.42868041992188,16.589962005615234,950.1426391601562
5,4518.0,-2.9745194911956787,-56.74478530883789,1390.5302734375
6,4932.0,22.837663650512695,80.89875793457031,1292.2542724609375
7,5221.0,48.74713897705078,-55.88932800292969,1489.049560546875
8,4876.0,4.592842102050781,13.244221687316895,715.192138671875
9,4957.0,50.27409362792969,-4.454344272613525,790.0855102539062
