Class,Count,Centroid_X,Centroid_Y,Subgroup_MSE
0,4936.0,-4.765130043029785,-83.6190414428711,2039.302734375
1,5618.0,57.0988883972168,59.35545349121094,885.9318237304688
2,4965.0,78.29938507080078,-1.6647241115570068,1864.3502197265625
3,5109.0,53.92001724243164,-40.5600471496582,1232.7835693359375
4,4868.0,-73.95237731933594,46.245147705078125,719.9944458007812
5,4518.0,7.272686958312988,-38.353004455566406,1003.0975952148438
6,4932.0,-11.706602096557617,80.9261703491211,1283.55126953125
7,5221.0,-63.82126235961914,-49.825111389160156,1178.5435791015625
8,4876.0,12.23704719543457,22.844144821166992,790.6515502929688
9,4957.0,-60.09520721435547,0.15964730083942413,794.5086669921875
